name,year_box_col,sport,year,box_type,full_title,search_query,search_query_clean
1st Edition Noter Dame Collegiate Collection,2020,Football,2020,,2020 1st Edition Noter Dame Collegiate Collection Football,2020 1st Edition Noter Dame Collegiate Collection Football,2020 1st edition noter dame collegiate collection football
Allen & Ginter,Hobby Box,Baseball,,Hobby,Allen & Ginter Baseball Hobby Box,Allen & Ginter Baseball Hobby,allen ginter baseball hobby
Allen & Ginter Topps Chrome,2020 Blaster Box,Baseball,2020,Blaster,2020 Allen & Ginter Topps Chrome Baseball Blaster Box,2020 Allen & Ginter Topps Chrome Baseball Blaster,2020 allen ginter topps chrome baseball blaster
Bowman,2020 Hobby Box,Baseball,2020,Hobby,2020 Bowman Baseball Hobby Box,2020 Bowman Baseball Hobby,2020 bowman baseball hobby
Bowman,2020 Hobby Box,Baseball,2020,Hobby,2020 Bowman Baseball Hobby Box,2020 Bowman Baseball Hobby,2020 bowman baseball hobby
Bowman,2020 Hobby Box,Baseball,2020,Hobby,2020 Bowman Baseball Hobby Box,2020 Bowman Baseball Hobby,2020 bowman baseball hobby
Bowman,2000 Hobby Box,Baseball,2000,Hobby,2000 Bowman Baseball Hobby Box,2000 Bowman Baseball Hobby,2000 bowman baseball hobby
Bowman,1995 box,Football,1995,,1995 Bowman Football,1995 Bowman Football,1995 bowman football
Bowman,2020 Blaster Box,Baseball,2020,Blaster,2020 Bowman Baseball Blaster Box,2020 Bowman Baseball Blaster,2020 bowman baseball blaster
Bowman,2021 Mega Box,Baseball,2021,Mega,2021 Bowman Baseball Mega Box,2021 Bowman Baseball Mega,2021 bowman baseball mega
Bowman,2019 Hobby Box,Baseball,2019,Hobby,2019 Bowman Baseball Hobby Box,2019 Bowman Baseball Hobby,2019 bowman baseball hobby
Bowman,2022 Blaster Box,Baseball,2022,Blaster,2022 Bowman Baseball Blaster Box,2022 Bowman Baseball Blaster,2022 bowman baseball blaster
Bowman,2022 Hobby Box,Baseball,2022,Hobby,2022 Bowman Baseball Hobby Box,2022 Bowman Baseball Hobby,2022 bowman baseball hobby
Bowman,2024 Hobby Box,Baseball,2024,Hobby,2024 Bowman Baseball Hobby Box,2024 Bowman Baseball Hobby,2024 bowman baseball hobby
