Card Type / Name,Year / Box Type,Sport
1st Edition Noter Dame Collegiate Collection,2020,Football
Allen & Ginter,Hobby Box,Baseball
Allen & Ginter Topps Chrome,2020 Blaster Box,Baseball
Bowman,2020 Hobby Box,Baseball
Bowman,2020 Hobby Box,Baseball
Bowman,2020 Hobby Box,Baseball
Bowman,2000 Hobby Box,Baseball
Bowman,1995 box,Football
Bowman,2020 Blaster Box,Baseball
Bowman,2021 Mega Box,Baseball
Bowman,2019 Hobby Box,Baseball
Bowman,2022 Blaster Box,Baseball
Bowman,2022 Hobby Box,Baseball
Bowman,2024 Hobby Box,Baseball
Bowman HTA,2025 Hobby Box,Baseball
Bowman's Best U,2024 Hobby Box,Baseball
Bowman's Best U,2022/23 Hobby Box,Basketball
Bowman's Best,2024/25 Hobby Box,Basketball
Bowman Sapphire,2024 Hobby Box,Baseball
Bowman Sapphire,2023 Hobby Box,Baseball
Bowman 1st Edition,2024 Hobby Box,Baseball
Bowman 1st Edition,2022 Hobby Box,Baseball
Bowman Chrome Mega,2023 Hobby Box,Baseball
Bowman Chrome Mega,2023 Mega Box,Baseball
Bowman Chrome Lite,2024 Mega Box,Baseball
Bowman Chrome,2021 Hobby Box,Baseball
Bowman Chrome,2022 Mega Box,Baseball
Bowman Chrome,2020 Hobby Box,Baseball
Bowman Chrome,2000 Hobby Box,Baseball
Bowman Chrome,1999 Hobby Box,Baseball
Bowman Chrome,2017 Hobby Box,Baseball
Bowman Chrome,2018 Hobby Box,Baseball
Bowman Chrome,2019 Hobby Box,Baseball
Bowman Chrome,2021 Hobby Box,Baseball
Bowman Chrome,2022 Hobby Box,Baseball
Bowman Chrome,2023 Hobby Box,Baseball
Bowman Chrome X,2024 Hobby Box,Baseball
Bowman Chrome HTA,2022 Hobby Box,Baseball
Bowman Chrome HTA,2022 Hobby Box,Baseball
Bowman Chrome HTA,2021 Hobby Box,Baseball
Bowman Chrome HTA,2020 Hobby Box,Baseball
Bowman Chrome HTA,2019 Hobby Box,Baseball
Bowman Chrome Sapphire Edition,2023 Hobby Box,Baseball
Bowman Chrome Sapphire Edition,2022 Mega Box,Baseball
Bowman Draft 1st Edition,2023 Mega Box,Baseball
Bowman Draft Lite,2022 Hobby Box,Baseball
Bowman Draft Jumbo,2022 Hobby Box,Baseball
Bowman Draft Jumbo,2017 Hobby Box,Baseball
Bowman Draft Jumbo,2018 Hobby Box,Baseball
Bowman Draft Jumbo,2019 Hobby Box,Baseball
Bowman Draft Jumbo,2022 Hobby Box,Baseball
Bowman Draft Jumbo,2023 Hobby Box,Baseball
Bowman Draft Picks,2024 Hobby Box,Baseball
Bowman Draft Picks,2012 Hobby Box,Baseball
Bowman Draft Picks,2013 Hobby Box,Baseball
Bowman Draft Picks,2014 Hobby Box,Baseball
Bowman Draft Picks,2015 Hobby Box,Baseball
Bowman Draft Picks,2016 Hobby Box,Baseball
Bowman Draft Sapphire Edition,2020 box,Baseball
Bowman Draft Super Jumbo,2018 Hobby Box,Baseball
Bowman Draft Super Jumbo,2019 Hobby Box,Baseball
Bowman Draft Super Jumbo,2022 Hobby Box,Baseball
Bowman Draft Super Jumbo,2023 Hobby Box,Baseball
Bowman High Tek,2018 Hobby Box,Baseball
Bowman Inception,2023 Hobby Box,Baseball
Bowman Jumbo,2020 Hobby Box,Baseball
Bowman Jumbo,2019 Hobby Box,Baseball
Bowman Jumbo,2020 Hobby Box,Baseball
Bowman Jumbo,2021 Hobby Box,Baseball
Bowman Jumbo,2024 Hobby Box,Baseball
Bowman Jumbo,2025 Hobby Box,Baseball
Bowman Mega Box,2019 Blaster Box,Baseball
Bowman Platinum,2025 Value Box,Baseball
Bowman Platinum,2020 Blaster Box,Baseball
Bowman Platinum,2021 Blaster Box,Baseball
Bowman Sterling,2021 Hobby Box,Baseball
Bowman Sterling,2022 Hobby Box,Baseball
Bowman Sterling,2020 Hobby Box,Baseball
Bowman Sterling,2019 Hobby Box,Baseball
Bowman's Best,2024 Hobby Box,Baseball
Bowman U,2020 Hobby Box,Baseball
Bowman U,2022 Hobby Box,Football
Bowman U,2023 Hobby Box,Football
Bowman U HTA,2023 Hobby Box,Football
Traded,1989 Set,Baseball
Lorcana Disney Chapter 1,2023 Packs,Disney Cards
Lorcana Disney Chapter 1,2023 80%,Disney Cards
Disney Rise of the Floodbarn,2023 Packs,Disney Cards
Lorcana Into the Inklands,2024 Starter Deck,Disney Cards
Contenders Draft Picks,2020 Hobby Box,Football
Absolute,2019 Hanger Box,Football
Absolute Memorabilia,2020 Retail Tall Box,Basketball
Absolute Memorabilia,2021 Retail Tall Box,Football
Panini Certified,2022 Retail Tall Box,Football
Panini Contenders,2022 Retail Tall Box,Basketball
Panini Illusions,2022 Retail Tall Box,Basketball
Panini Certified,2020-21 Hobby Box,Basketball
Panini Chronicles,2022 Hobby Box,Football
Panini Chronicles,2017 Blaster Box,Baseball
Panini Chronicles,2020 Hobby Box,Basketball
Panini Chronicles,2020-21 Hobby Box,Basketball
Panini Chronicles,2021 Blaster Box,UFC
Panini Chronicles,2020-21 Hanger Box,Football
Panini Chronicles,2020-21 Hanger Box,Basketball
Panini Chronicles,2020-21 Blaster Box,Basketball
Panini Chronicles Draft Picks,2021 Hobby Box,Basketball
Panini Chronicles Draft Picks,2021 Hobby Box,Football
Panini Chronicles Draft Picks,2021 Hobby Box,Basketball
Panini Clearly Donruss,2021 Jumbo Packs,Football
Panini Contenders,2020/21 Hobby Box,Football
Panini Contenders,2020 Hobby Box,Basketball
Panini Contenders,2022 Hobby Box,Football
Panini Contenders,2023 Hobby Box,Football
Panini Contenders Draft Picks,2020 Hobby Box,Basketball
Panini Contenders,2021-22 Blaster Box,Basketball
Panini Court Kings,2020-21 Blaster Box,Basketball
Panini Donruss,2022 Packs,Football
Panini Donruss,2020-21 Hobby Box,Football
Panini Donruss,2021 Blaster Box,Basketball
Panini Donruss,2021-22 Value Pack,Baseball
Panini Donruss,2021 Blaster Box,Soccer
Panini Donruss,2021-22 Blaster Box,Football
Panini Donruss,2022 Packs,Basketball
Panini Donruss Gravity,2023 Blaster Box,Football
Panini Donruss Elite,2023 Mega Box,Football
Panini Donruss Set (Silver Pack),2023 Gravity Box,Football
Panini Elite,2021 Factory Set,Football
Panini Elite,2021 Blaster Box,Football
Panini Elite,2021 Jumbo Pack,Football
Panini Flux,2021-22 Hobby Box,Basketball
Panini Flux,2020-21 Blaster Box,Basketball
Panini Illusions,2020-21 Mega Box,Basketball
Panini Illusions,Value Pack,Football
Panini Illusions,2020 Hobby Box,Basketball
Panini Illusions,2021 Blaster Box,Football
Panini Illusions,2020-21 Value Pack,Basketball
Panini Illusions,2021 Mega Box,Basketball
Panini Illusions,2020-21 Mega Box,Football
Panini Kid's Crate - Series 1,2022 Blaster Box,Basketball
Panini Kid's Crate - Series 3,2021 Box,Various
Panini Limited,2021 Box,Various
Panini Luminance,2022 Hobby Box,Football
Panini Luminance,2021 Hobby Box,Football
Panini Luminance,2023 Hobby Box,Football
Panini Mosaic,2024 Hobby Box,Football
Panini Mosaic,2019-20 Blaster Box,Basketball
Panini Mosaic,2021 Hobby Box-H2,Soccer
Panini Mosaic,2021 Hobby Box,Soccer
Panini Mosaic,2020-21 Hanger Box,Basketball
Panini Mosaic,2020-21 Mega Box,Basketball
Panini Mosaic,2023 Blaster Box,Football
Panini Mosaic,2023-24 Hobby Box,Basketball
Panini NBA Hoops,2020-21 Hobby Box,Basketball
Panini Obsidian,2020-21 Hobby Box,Soccer
Panini One,2022-23 Hobby Box,Soccer
Panini Optic,2023 Hobby Box,Football
Panini Optic,2021 Retail Box,Football
Panini Optic,2023 Hobby Box H2,Football
Panini Origins,2020-21 Hanger Box,Basketball
Panini Phoenix,Hobby Box,Basketball
Panini Playbook,2023 Hobby Box,Football
Panini Playbook,2020 Hobby Box,Football
Panini Playbook,2020 Blaster Box,Football
Panini Playbook,2021 Mega Box,Football
Panini Playoff,2019 Hanger Box,Football
Panini Prestige,2019 Blaster Box,Football
Panini Prestige,2021 Hobby Box H2,Football
Panini Prizm Draft Picks,2021 Blaster Box,Football
Panini Prizm Premier League,2020-21 Mega Box,Soccer
Panini Prizm,2020-21 Blaster Box,Basketball
Panini Prizm,2020 Blaster Box,Basketball
Panini Prizm,2020 Hanger Box,Basketball
Panini Prizm,2020 Hobby Box,Basketball
Panini Prizm,2020 Hobby Box,Football
Panini Prizm,2020 Blaster Box,Football
Panini Prizm,2021 Hobby Box-H2,Football
Panini Prizm,2022 Blaster Box,Football
Panini Prizm,2023 Blaster Box,Football
Panini Prizm,2023 Hobby Box,Football
Panini Prizm,2024 Hobby Box,Football
Panini Prizm,2023-24 Hobby Box,Basketball
Panini Prizm,2024 Blaster Box,Football
Panini Prizm Premier League Hybrid,2020-21 box,Soccer
Panini Revolution,2020-21 Hobby Box,Basketball
Panini Select,2020-21 Blaster Box,Basketball
Panini Select,2022 Hobby Box,Football
Panini Select,2023-24 Blaster Box,Basketball
Panini Score,2019 Hanger Box,Football
Panini Score,2021 Jumbo Pack,Football
Pokemon Scarlet & Violet 151 Japanese,2024 Booster Box,Pokemon
Topps Chrome Jumbo,2020 Hobby Box,Baseball
